Mass,Data,Top1_82.377,Top2_81.877,Top3_81.377
40.5,41126,10175.7,10264.1,10374.4
41.5,42633,10763.3,11011.8,11000.2
42.5,44732,11456.4,11555.5,11821.5
43.5,47048,12353.6,12618.1,12767.9
44.5,49438,13404.4,13610.4,13778.7
45.5,52775,14528.5,14785.5,15007.4
46.5,57211,15983.1,16101.6,16373.8
47.5,63201,17791.6,17892.6,18209.2
48.5,70652,20007,20017.4,20758.6
49.5,82787,23466,23677.2,24285.6
50.5,101717,33144.1,33441.7,33961.9
51.5,122562,46509.3,47193.6,47785.8
52.5,144861,60495.8,61205.7,62564.1
53.5,166343,74722.5,75574,76898.1
54.5,187818,88862.2,90109.6,91635.3
55.5,210914,102560,104166,106355
56.5,232156,116997,118381,120316
57.5,254651,130299,132257,134989
58.5,277360,144472,146299,149083
59.5,299395,157915,160456,163753
60.5,320898,172672,174938,179245
61.5,342152,186599,190380,194104
62.5,361675,201651,205542,210440
63.5,380503,218016,221872,227387
64.5,397395,234355,239434,246295
65.5,411861,252727,257749,264784
66.5,424337,272155,277582,285827
67.5,433771,291786,298350,306722
68.5,441730,311830,319439,328274
69.5,447105,334175,342520,351675
70.5,452923,356425,365053,374599
71.5,454832,379229,387714,397510
72.5,455685,400687,408381,418879
73.5,456318,420118,427809,434893
74.5,453993,437504,442724,448079
75.5,449631,449663,452105,455190
76.5,444977,455818,456318,456318
77.5,436734,456318,452344,451367
78.5,427917,450014,443804,437138
79.5,417412,436331,426549,416637
80.5,404696,414907,402379,390048
81.5,390915,388580,372967,357478
82.5,378035,356255,337573,319583
83.5,360549,319135,299978,280322
84.5,344530,280426,260021,240428
85.5,326589,241333,220867,201759
86.5,309844,202437,183894,166130
87.5,291762,167458,149689,133610
88.5,273065,134529,119838,105697
89.5,255893,107293,94032.4,82675.9
90.5,237005,83818.5,73828.4,63666.8
91.5,219316,64821.4,56573.3,49191.9
92.5,202021,49789.3,43585.8,38033.5
93.5,186915,38711.3,33857.9,29566.8
94.5,171204,30031.1,26395.8,23566
95.5,156657,23478.1,21160.1,18751.9
96.5,141988,18782.6,17153.5,15298.1
97.5,128788,15304.6,13989.1,12984
98.5,116344,12723.8,11942.2,10988.5
99.5,105832,10887.7,10210.7,9441.06
100.5,94917,9461.49,8957.81,8372.87
101.5,85720,8210.04,7825.84,7338.28
102.5,76584,7280.16,6991.97,6696.61
103.5,68850,6617.62,6423.88,5895.82
104.5,62031,5883.62,5645.33,5361.49
105.5,54887,5396.73,5254.41,5001.23
106.5,49529,4958.91,4788.03,4659.16
107.5,44426,4551.23,4431.33,4278.37
108.5,39457,4246.44,4084.47,4030.57
109.5,35011,4003.2,3810.74,3680.1
110.5,31309,3754.38,3464.82,3462.17
111.5,27812,3574.43,3341.07,3302.57
112.5,24948,3304.51,3258.58,3126.18
113.5,22500,3059.12,3013.43,2944.64
114.5,20165,2915.34,2870.94,2837.78
115.5,18285,2792.64,2703.14,2660.91
116.5,16146,2689.75,2653.92,2489.65
117.5,14827,2477.52,2590.18,2368.78
118.5,13171,2392.28,2338.47,2281.05
119.5,12147,2285.95,2225.51,2219.45
120.5,10891,2246.77,2115.36,2092.98
121.5,9930,2105.57,2074.58,2023.45
122.5,9105,2010.43,1972.4,1936.18
123.5,8270,1902.37,1890.84,1813.92
124.5,7683,1825.74,1828.03,1789.65
125.5,7001,1835.65,1759.13,1688.85
126.5,6529,1672.92,1673.35,1629.12
127.5,5998,1625.56,1577.26,1602.52
128.5,5579,1586.82,1594.13,1543.72
129.5,5134,1525.26,1481.64,1472.32
130.5,4770,1468.43,1468.98,1466.26
131.5,4403,1405.58,1433.83,1408.86
132.5,4083,1390.08,1418.36,1308.06
133.5,3863,1355.21,1306.34,1322.52
134.5,3739,1282.02,1277.74,1273.99
135.5,3430,1223.91,1234.62,1183.92
136.5,3270,1226.49,1228.53,1200.26
137.5,3024,1199.8,1163.38,1167.59
138.5,2870,1163.21,1057.44,1085.92
139.5,2698,1161.92,1107.13,1068.66
